sector,symbol,event_id,event_name,t0_date,recovery_time
Basic Industries subset extended,ADES,E002,Hurricane Katrina,2005-08-29,30.0
Basic Industries subset extended,ADES,E003,iPhone announcement (Steve Jobs keynote),2007-01-09,90.0
Basic Industries subset extended,ADES,E005,U.S. presidential election (Trump elected),2016-11-08,
Basic Industries subset extended,ADES,E006,COVID-19 pandemic (U.S. national emergency declaration),2020-03-13,13.0
Basic Industries subset extended,AMTX,E005,U.S. presidential election (Trump elected),2016-11-08,43.0
Basic Industries subset extended,AMTX,E006,COVID-19 pandemic (U.S. national emergency declaration),2020-03-13,7.0
Basic Industries subset extended,APWC,E002,Hurricane Katrina,2005-08-29,28.0
Basic Industries subset extended,APWC,E003,iPhone announcement (Steve Jobs keynote),2007-01-09,
Basic Industries subset extended,APWC,E004,2008 financial crisis (Lehman Brothers bankruptcy),2008-09-15,15.0
Basic Industries subset extended,APWC,E005,U.S. presidential election (Trump elected),2016-11-08,7.0
Basic Industries subset extended,APWC,E006,COVID-19 pandemic (U.S. national emergency declaration),2020-03-13,89.0
Basic Industries subset extended,AQMS,E005,U.S. presidential election (Trump elected),2016-11-08,
Basic Industries subset extended,AQMS,E006,COVID-19 pandemic (U.S. national emergency declaration),2020-03-13,20.0
Basic Industries subset extended,BBCP,E006,COVID-19 pandemic (U.S. national emergency declaration),2020-03-13,89.0
Basic Industries subset extended,CENX,E001,September 11 attacks,2001-09-11,98.0
Basic Industries subset extended,CENX,E002,Hurricane Katrina,2005-08-29,3.0
Basic Industries subset extended,CENX,E003,iPhone announcement (Steve Jobs keynote),2007-01-09,
Basic Industries subset extended,CENX,E005,U.S. presidential election (Trump elected),2016-11-08,
Basic Industries subset extended,CENX,E006,COVID-19 pandemic (U.S. national emergency declaration),2020-03-13,53.0
Basic Industries subset extended,CLXT,E006,COVID-19 pandemic (U.S. national emergency declaration),2020-03-13,6.0
Basic Industries subset extended,EVGN,E005,U.S. presidential election (Trump elected),2016-11-08,6.0
Basic Industries subset extended,EVGN,E006,COVID-19 pandemic (U.S. national emergency declaration),2020-03-13,13.0
Basic Industries subset extended,GEVO,E006,COVID-19 pandemic (U.S. national emergency declaration),2020-03-13,21.0
Basic Industries subset extended,GPP,E005,U.S. presidential election (Trump elected),2016-11-08,3.0
